# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"Action","anchor_id":"FILE1_Z0_XY1","type":2,"desc":"","options":{"0":"Playing","1":"Sitting","2":"Walking","3":"Falling","4":"Stand watching"},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"4_h0d9xACB","[""IMG_5406_00005.jpg""]",0,"[]","[2,484.86195,379.83762,242.431,569.757]","{""1"":""0""}"
"4_4ZlFQjE4","[""IMG_5406_00005.jpg""]",0,"[]","[2,925.08914,322.07447,343.07937,672.156]","{""1"":""0""}"
"4_PWOw4A4I","[""IMG_5406_00005.jpg""]",0,"[]","[2,729.91894,510.24357,129.53,256.434]","{""1"":""0""}"
"5_CKSmDoaI","[""IMG_5406_00006.jpg""]",0,"[]","[2,958.347,542.626,0,1.75]","{}"
"5_AZ7AhhkQ","[""IMG_5406_00006.jpg""]",0,"[]","[2,919.83762,512.8692,134.782,271.312]","{""1"":""0""}"
"5_BbKXyGHx","[""IMG_5406_00006.jpg""]",0,"[]","[2,820.065,531.248,98.023,232.804]","{""1"":""0""}"
"5_g1YT3jEv","[""IMG_5406_00006.jpg""]",0,"[]","[2,479.61062,418.34715,298.444,503.241]","{""1"":""0""}"
"5_ZN2lDI9o","[""IMG_5406_00006.jpg""]",0,"[]","[2,1206.90463,342.20456,343.954,667.779]","{""1"":""0""}"
"6_sAyPd1Kz","[""IMG_5406_00007.jpg""]",0,"[]","[2,478.736,408.72,302.82,517.244]","{""1"":""0""}"
"6_7XNzXX9p","[""IMG_5406_00007.jpg""]",0,"[]","[2,906.71,511.994,129.53,260.81]","{""1"":""0""}"
"6_BIvpdVVU","[""IMG_5406_00007.jpg""]",0,"[]","[2,1219.157,380.713,325.576,582.885]","{""1"":""0""}"
"7_cNPNZmRM","[""IMG_5406_00008.jpg""]",0,"[]","[2,489.238,420.097,235.43,491.864]","{""1"":""0""}"
"7_gtKYvqWC","[""IMG_5406_00008.jpg""]",0,"[]","[2,889.20603,504.11699,133.906,256.434]","{""1"":""0""}"
"7_6XV6051N","[""IMG_5406_00008.jpg""]",0,"[]","[2,1212.15589,380.71341,224.052,540.875]","{""1"":""0""}"
"8_W7J2RnTS","[""IMG_5406_00009.jpg""]",0,"[]","[2,482.237,416.596,264.311,487.488]","{""1"":""0""}"
"8_uBfMCp4S","[""IMG_5406_00009.jpg""]",0,"[]","[2,766.677,523.371,156.662,212.674]","{""1"":""0""}"
"8_ukz2LaMF","[""IMG_5406_00009.jpg""]",0,"[]","[2,926.84,503.241,137.406,273.939]","{""1"":""0""}"
"8_7B4VnZkv","[""IMG_5406_00009.jpg""]",0,"[]","[2,1199.028,380.713,281.815,579.384]","{""1"":""0""}"
"8_QOK2y3Kf","[""IMG_5406_00009.jpg""]",0,"[]","[2,1770.535,471.734,133.906,239.806]","{""1"":""0""}"
"9_XL2OMfam","[""IMG_5406_00010.jpg""]",0,"[]","[2,522.496,448.979,259.06,476.985]","{""1"":""0""}"
"9_ofulJ3Sh","[""IMG_5406_00010.jpg""]",0,"[]","[2,964.473,490.989,148.785,264.311]","{""1"":""0""}"
"9_CGItxjpo","[""IMG_5406_00010.jpg""]",0,"[]","[2,1171.896,410.47,320.324,556.629]","{""1"":""0""}"
"9_AIA2d7XM","[""IMG_5406_00010.jpg""]",0,"[]","[2,1718.898,515.494,161.037,232.804]","{""1"":""0""}"
"10_UwK1iHFL","[""IMG_5406_00011.jpg""]",0,"[]","[2,618.768,368.46,222.302,545.252]","{""1"":""0""}"
"10_YYZtoXA1","[""IMG_5406_00011.jpg""]",0,"[]","[2,947.844,514.619,129.53,252.934]","{""1"":""0""}"
"10_GKwfQXYX","[""IMG_5406_00011.jpg""]",0,"[]","[2,1233.16046,427.09887,193.4193,443.72768]","{""1"":""0""}"
"11_KDXaaD0Z","[""IMG_5406_00012.jpg""]",0,"[]","[2,674.78135,345.70459,262.561,617.893]","{""1"":""0""}"
"11_ml5e0bnN","[""IMG_5406_00012.jpg""]",0,"[]","[2,1001.232,494.489,126.904,266.062]","{""1"":""0""}"
"11_XtCGLRfj","[""IMG_5406_00012.jpg""]",0,"[]","[2,1183.274,466.483,172.41482,388.58993]","{""1"":""0""}"
"12_YZlMTCrr","[""IMG_5406_00013.jpg""]",0,"[]","[2,813.063,519.87,1.751,0.876]","{}"
"12_UoIJmXEc","[""IMG_5406_00013.jpg""]",0,"[]","[2,814.81368,341.32896,248.557,613.517]","{""1"":""0""}"
"12_UdIBLTvX","[""IMG_5406_00013.jpg""]",0,"[]","[2,1053.74416,551.37763,233.67885,262.56092]","{""1"":""0""}"
"13_fIAqgi5t","[""IMG_5407_00002.jpg""]",0,"[]","[2,1009.10832,456.85576,231.054,441.10166]","{""1"":""1""}"
"13_VXUggdNS","[""IMG_5407_00002.jpg""]",0,"[]","[2,760.55105,487.48825,257.30915,448.97853]","{""1"":""1""}"
"13_s2IYLLKr","[""IMG_5407_00002.jpg""]",0,"[]","[2,473.48457,441.10245,176.791,568.006]","{""1"":""4""}"
"13_L6RucRiH","[""IMG_5407_00002.jpg""]",0,"[]","[2,573.25795,290.56692,224.052,686.159]","{""1"":""4""}"
"13_rHKXIsWI","[""IMG_5407_00002.jpg""]",0,"[]","[2,188.169,765.802,0,0.875]","{}"
"13_skqXyXyk","[""IMG_5407_00002.jpg""]",0,"[]","[2,-32.3827,556.62894,322.95,383.339]","{""1"":""1""}"
"14_xiW1eJph","[""IMG_5407_00003.jpg""]",0,"[]","[2,1016.11053,485.73716,223.17634,490.11373]","{""1"":""1""}"
"14_zCHG0IVc","[""IMG_5407_00003.jpg""]",0,"[]","[2,798.18467,470.85898,242.43121,507.618]","{""1"":""1""}"
"14_shgbldQc","[""IMG_5407_00003.jpg""]",0,"[]","[2,466.48259,481.36114,180.292,446.354]","{""1"":""4""}"
"14_CXx9XF7Z","[""IMG_5407_00003.jpg""]",0,"[]","[2,550.502,333.452,350.081,692.285]","{""1"":""2""}"
"14_iWSgNG2N","[""IMG_5407_00003.jpg""]",0,"[]","[2,202.172,834.068,0,0.875]","{}"
"14_VLNNVJYE","[""IMG_5407_00003.jpg""]",0,"[]","[2,4.376,554.878,245.93194,422.723]","{""1"":""1""}"
"15_wD0irNCi","[""IMG_5407_00004.jpg""]",0,"[]","[2,1002.10716,519.87025,238.055,425.349]","{""1"":""1""}"
"15_EU3w0agS","[""IMG_5407_00004.jpg""]",0,"[]","[2,801.68545,513.74385,217.926,433.225]","{""1"":""1""}"
"15_sXiPYnDH","[""IMG_5407_00004.jpg""]",0,"[]","[2,470.85918,500.61554,194.295,414.846]","{""1"":""4""}"
"15_0a1VmNcV","[""IMG_5407_00004.jpg""]",0,"[]","[2,483.11137,334.32758,292.318,481.361]","{""1"":""2""}"
"15_QICILNuP","[""IMG_5407_00004.jpg""]",0,"[]","[2,287.942,752.674,0,1.751]","{}"
"15_43tU1l9q","[""IMG_5407_00004.jpg""]",0,"[]","[2,-56.01259,561.0049,311.572,406.094]","{""1"":""1""}"
"15_t07Xg2Ka","[""IMG_5407_00004.jpg""]",0,"[]","[2,1721.52393,274.81328,193.41934,478.73615]","{""1"":""2""}"
"15_u9OUu6ON","[""IMG_5407_00004.jpg""]",0,"[]","[2,1493.096,622.269,0,0.875]","{}"
"15_PeJwfXwe","[""IMG_5407_00004.jpg""]",0,"[]","[2,1718.898,522.496,0,3.501]","{}"
"16_Yojv8gWw","[""IMG_5407_00005.jpg""]",0,"[]","[2,1063.37115,494.48978,224.05139,347.455]","{""1"":""1""}"
"16_euUC1d9P","[""IMG_5407_00005.jpg""]",0,"[]","[2,849.822,499.741,231.928,348.33]","{""1"":""1""}"
"16_lD0ckKpo","[""IMG_5407_00005.jpg""]",0,"[]","[2,518.11959,494.48954,194.295,397.342]","{""1"":""4""}"
"16_1RYXiXSw","[""IMG_5407_00005.jpg""]",0,"[]","[2,584.6351,364.95996,155.786,169.789]","{""1"":""4""}"
"16_6UYBA0PO","[""IMG_5407_00005.jpg""]",0,"[]","[2,11.37756,565.3808,278.315,367.585]","{""1"":""1""}"
"17_P6EfVXhR","[""IMG_5407_00006.jpg""]",0,"[]","[2,1073.87334,501.49071,270.438,384.214]","{""1"":""1""}"
"17_q7HJGXXI","[""IMG_5407_00006.jpg""]",0,"[]","[2,883.07975,452.48016,265.186,449.854]","{""1"":""1""}"
"17_Bn1rX9bH","[""IMG_5407_00006.jpg""]",0,"[]","[2,547.00115,487.48737,235.43,408.72]","{""1"":""4""}"
"17_YjirsaJ0","[""IMG_5407_00006.jpg""]",0,"[]","[2,608.266,356.207,163.663,143.534]","{""1"":""4""}"
"17_RZRJb5SJ","[""IMG_5407_00006.jpg""]",0,"[]","[2,38.509,563.62999,284.441,332.577]","{""1"":""1""}"
"18_Yz0lPv44","[""IMG_5407_00007.jpg""]",0,"[]","[2,79.643,566.256,294.944,325.575]","{""1"":""1""}"
"18_Dng8lxD9","[""IMG_5407_00007.jpg""]",0,"[]","[2,642.39896,496.24037,147.909,338.703]","{""1"":""4""}"
"18_TPArMkzZ","[""IMG_5407_00007.jpg""]",0,"[]","[2,677.407,361.459,139.157,129.53]","{""1"":""4""}"
"18_MRaTVKej","[""IMG_5407_00007.jpg""]",0,"[]","[2,968.84941,468.23319,421.848,415.721]","{""1"":""1""}"
"19_TT9V09ZT","[""IMG_5407_00008.jpg""]",0,"[]","[2,689.65944,423.59828,224.05206,327.32554]","{""1"":""2""}"
"19_la2oWxJN","[""IMG_5407_00008.jpg""]",0,"[]","[2,20.12973,427.97416,189.04369,227.553]","{""1"":""4""}"
"19_kBziXrMU","[""IMG_5407_00008.jpg""]",0,"[]","[2,954.846,513.744,71.767,138.282]","{""1"":""1""}"
"19_H8mhljtF","[""IMG_5407_00008.jpg""]",0,"[]","[2,1013.48454,525.99718,80.519,135.656]","{""1"":""1""}"
"19_PLejFWZL","[""IMG_5407_00008.jpg""]",0,"[]","[2,1210.405,468.23303,105.9,189.044]","{""1"":""4""}"
"19_dT6VRhr9","[""IMG_5407_00008.jpg""]",0,"[]","[2,1461.58878,271.31301,345.70457,691.40984]","{""1"":""0""}"
"20_qNU8PRyY","[""IMG_5407_00009.jpg""]",0,"[]","[2,24.50591,440.2266,180.29149,262.561]","{""1"":""4""}"
"20_xYbvHb2d","[""IMG_5407_00009.jpg""]",0,"[]","[2,860.32392,459.48172,161.03751,270.43724]","{""1"":""2""}"
"20_lZYgPALN","[""IMG_5407_00009.jpg""]",0,"[]","[2,1465.964,289.692,331.702,742.172]","{""1"":""0""}"
"20_dJsm6OXg","[""IMG_5407_00009.jpg""]",0,"[]","[2,1204.27919,483.11199,119.902,183.792]","{""1"":""4""}"
"21_Rb3z5L7m","[""IMG_5407_00010.jpg""]",0,"[]","[2,909.33541,490.11361,103.274,220.551]","{""1"":""2""}"
"21_ITuXdQFq","[""IMG_5407_00010.jpg""]",0,"[]","[2,1141.264,487.488,142.658,194.295]","{""1"":""2""}"
"21_UO1YWS0G","[""IMG_5407_00010.jpg""]",0,"[]","[2,1449.33597,301.94443,212.674,611.767]","{""1"":""0""}"
"21_ddNy7rC5","[""IMG_5407_00010.jpg""]",0,"[]","[2,1689.141,415.721,210.924,414.846]","{""1"":""0""}"
"21_nxnvRrve","[""IMG_5407_00010.jpg""]",0,"[]","[2,1294.425,518.995,41.134,100.648]","{""1"":""0""}"
"22_kcKy1Uya","[""IMG_5407_00011.jpg""]",0,"[]","[2,1337.31,308.071,292.317,693.161]","{""1"":""0""}"
"22_Um1O7cOQ","[""IMG_5407_00011.jpg""]",0,"[]","[2,1612.12319,428.84915,202.17179,420.97257]","{""1"":""0""}"
"22_QkDFCt4s","[""IMG_5407_00011.jpg""]",0,"[]","[2,1031.86433,484.86197,113.77586,153.161]","{""1"":""4""}"
"22_QbR7DsH5","[""IMG_5407_00011.jpg""]",0,"[]","[2,922.46315,532.99838,84.895,141.783]","{""1"":""1""}"
"22_3EO4OSmQ","[""IMG_5407_00011.jpg""]",0,"[]","[2,830.567,487.488,91.021,202.172]","{""1"":""2""}"
"22_yNi0QXGy","[""IMG_5407_00011.jpg""]",0,"[]","[2,1227.034,520.746,65.64,98.897]","{""1"":""0""}"
"23_WZmcBlAP","[""IMG_5407_00012.jpg""]",0,"[]","[2,1009.109,484.862,105.024,173.29]","{""1"":""2""}"
"23_d6CtmJF0","[""IMG_5407_00012.jpg""]",0,"[]","[2,797.31,481.361,102.398,214.425]","{""1"":""2""}"
"23_tC2qhCvu","[""IMG_5407_00012.jpg""]",0,"[]","[2,1640.13,402.593,227.552,483.112]","{""1"":""0""}"
"23_isxpSWNV","[""IMG_5407_00012.jpg""]",0,"[]","[2,1274.295,353.582,343.955,618.768]","{""1"":""0""}"
"24_C2ARUsSr","[""IMG_5407_00013.jpg""]",0,"[]","[2,1462.464,273.063,360.583,695.786]","{""1"":""0""}"
"24_HIlUzXk4","[""IMG_5407_00013.jpg""]",0,"[]","[2,1123.76,480.48577,88.396,168.915]","{""1"":""2""}"
"24_8eg4xHEH","[""IMG_5407_00013.jpg""]",0,"[]","[2,1236.661,503.241,80.519,148.785]","{""1"":""2""}"
"24_5GkX6DIs","[""IMG_5407_00013.jpg""]",0,"[]","[2,1028.36319,537.37419,56.013,106.775]","{""1"":""1""}"
"24_ZYT1X2Mo","[""IMG_5407_00013.jpg""]",0,"[]","[2,944.344,494.489,57.763,101.524]","{""1"":""4""}"
"24_pd6qqXKi","[""IMG_5407_00013.jpg""]",0,"[]","[2,162.788,467.358,142.658,180.292]","{""1"":""4""}"
"25_c89UFIsK","[""IMG_5409_00002.jpg""]",0,"[]","[2,914.58625,580.25929,209.174,392.091]","{""1"":""0""}"
"25_wgZqdcvp","[""IMG_5409_00002.jpg""]",0,"[]","[2,1105.381,518.12,173.29,326.451]","{""1"":""0""}"
"25_HxTs56c7","[""IMG_5409_00002.jpg""]",0,"[]","[2,1768.784,540,148.785,468.233]","{""1"":""4""}"
"25_LqUi0svk","[""IMG_5409_00002.jpg""]",0,"[]","[2,592.512,689.66,0,0.875]","{}"
"25_c0IzzbTF","[""IMG_5409_00002.jpg""]",0,"[]","[2,437.601,561.005,170.665,329.951]","{""1"":""4""}"
"26_Qj1LZa3G","[""IMG_5409_00003.jpg""]",0,"[]","[2,954.846,578.509,155.786,371.086]","{""1"":""0""}"
"26_GapEnr5U","[""IMG_5409_00003.jpg""]",0,"[]","[2,1097.50366,513.74439,144.409,308.946]","{""1"":""0""}"
"26_EXSt1obI","[""IMG_5409_00003.jpg""]",0,"[]","[2,1725.024,510.243,173.29,476.986]","{""1"":""4""}"
"26_ODACwJ7q","[""IMG_5409_00003.jpg""]",0,"[]","[2,445.47838,576.75857,140.907,290.567]","{""1"":""4""}"
"27_o6drc28E","[""IMG_5409_00004.jpg""]",0,"[]","[2,1093.128,520.746,125.154,273.063]","{""1"":""0""}"
"27_kqX3HnJm","[""IMG_5409_00004.jpg""]",0,"[]","[2,865.575,564.506,236.305,420.972]","{""1"":""0""}"
"27_yMtygLik","[""IMG_5409_00004.jpg""]",0,"[]","[2,1712.771,519.87,180.292,476.111]","{""1"":""4""}"
"27_4K0uXL1z","[""IMG_5409_00004.jpg""]",0,"[]","[2,420.972,562.755,149.66,294.944]","{""1"":""4""}"
"28_LIWvheDo","[""IMG_5409_00005.jpg""]",0,"[]","[2,922.46314,443.72811,378.963,497.115]","{""1"":""0""}"
"28_7ZqxXaH2","[""IMG_5409_00005.jpg""]",0,"[]","[2,1605.99697,518.11977,220.551,448.979]","{""1"":""4""}"
"28_51e5XDXd","[""IMG_5409_00005.jpg""]",0,"[]","[2,339.579,541.75,163.662,314.198]","{""1"":""4""}"
"29_CXuwAXDr","[""IMG_5409_00006.jpg""]",0,"[]","[2,1082.62554,512.86897,297.569,513.744]","{""1"":""0""}"
"29_fQgLxP5m","[""IMG_5409_00006.jpg""]",0,"[]","[2,732.545,515.494,171.53928,286.19158]","{""1"":""0""}"
"29_CpNEy2w8","[""IMG_5409_00006.jpg""]",0,"[]","[2,101.52315,537.374,154.036,308.947]","{""1"":""2""}"
"29_xyARHx74","[""IMG_5409_00006.jpg""]",0,"[]","[2,1371.44295,502.36619,190.794,447.229]","{""1"":""4""}"
"30_wmevqUJ0","[""IMG_5409_00007.jpg""]",0,"[]","[2,1464.21397,516.3698,198.671,323.825]","{""1"":""0""}"
"30_row4wDi1","[""IMG_5409_00007.jpg""]",0,"[]","[2,841.06998,490.11355,165.41301,407.84431]","{""1"":""4""}"
"30_G2ekgJSo","[""IMG_5409_00007.jpg""]",0,"[]","[2,574.133,512.869,303.695,534.749]","{""1"":""0""}"
"30_VWzotELZ","[""IMG_5409_00007.jpg""]",0,"[]","[2,132.15518,496.24019,181.167,280.94]","{""1"":""0""}"
"31_firHnmIx","[""IMG_5409_00008.jpg""]",0,"[]","[2,890.956,523.371,217.926,293.193]","{""1"":""0""}"
"31_K3RXnwOX","[""IMG_5409_00008.jpg""]",0,"[]","[2,1670.76216,526.8722,112.02552,205.672]","{""1"":""0""}"
"31_0R5cHF1h","[""IMG_5409_00008.jpg""]",0,"[]","[2,1259.41697,516.36918,122.528,168.039]","{""1"":""0""}"
"31_XmkG31C0","[""IMG_5409_00008.jpg""]",0,"[]","[2,10.502,674.781,428.85,354.457]","{""1"":""0""}"
"31_OKcttf2G","[""IMG_5409_00008.jpg""]",0,"[]","[2,406.969,464.733,224.052,437.601]","{""1"":""2""}"
"32_JKpZ9ITt","[""IMG_5409_00009.jpg""]",0,"[]","[2,279.19,487.488,248.557,427.974]","{""1"":""0""}"
"32_MQnHK5rH","[""IMG_5409_00009.jpg""]",0,"[]","[2,610.0165,545.25116,245.932,273.063]","{""1"":""0""}"
"32_z9cXPCTX","[""IMG_5409_00009.jpg""]",0,"[]","[2,978.476,518.12,88.396,165.413]","{""1"":""0""}"
"32_vpuX5PYm","[""IMG_5409_00009.jpg""]",0,"[]","[2,1539.48125,535.62356,135.657,198.671]","{""1"":""0""}"
"32_UAgrMhxi","[""IMG_5409_00009.jpg""]",0,"[]","[2,1136.013,525.997,80.519,155.786]","{""1"":""0""}"
"32_nkvUwSOY","[""IMG_5409_00009.jpg""]",0,"[]","[2,1725.02397,532.99858,148.785,215.3]","{""1"":""0""}"
"33_jXK9X3wO","[""IMG_5409_00010.jpg""]",0,"[]","[2,254.68376,491.86397,241.556,418.347]","{""1"":""0""}"
"33_8XqV8EBq","[""IMG_5409_00010.jpg""]",0,"[]","[2,1490.47,550.502,140.908,182.043]","{""1"":""0""}"
"33_IHwcpU1u","[""IMG_5409_00010.jpg""]",0,"[]","[2,1797.6658,544.37596,97.148,213.549]","{""1"":""0""}"
"33_2AIsIdWR","[""IMG_5409_00010.jpg""]",0,"[]","[2,569.757,584.635,239.805,242.431]","{""1"":""0""}"
"34_Jn8pA75o","[""IMG_5409_00011.jpg""]",0,"[]","[2,727.293,540,145.284,280.94]","{""1"":""0""}"
"34_cV08Yg2w","[""IMG_5409_00011.jpg""]",0,"[]","[2,544.376,549.627,147.034,189.919]","{""1"":""0""}"
"34_ofqiYoAX","[""IMG_5409_00011.jpg""]",0,"[]","[2,267.81202,505.86756,222.301,401.718]","{""1"":""4""}"
"34_nzkfcF3d","[""IMG_5409_00011.jpg""]",0,"[]","[2,1495.721,571.50757,141.783,162.787]","{""1"":""0""}"
"34_F9g8w9Oz","[""IMG_5409_00011.jpg""]",0,"[]","[2,1675.13778,515.49412,154.036,258.185]","{""1"":""0""}"
"34_PE4rpQzQ","[""IMG_5409_00011.jpg""]",0,"[]","[2,1791.5399,846.3212,154.911,223.176]","{""1"":""1""}"
"35_bsrqFqv4","[""IMG_5409_00012.jpg""]",0,"[]","[2,272.188,511.994,224.052,435.85]","{""1"":""4""}"
"35_HG9GjDht","[""IMG_5409_00012.jpg""]",0,"[]","[2,842.81999,547.00116,182.917,261.686]","{""1"":""0""}"
"35_9iMQIg5J","[""IMG_5409_00012.jpg""]",0,"[]","[2,517.245,548.752,138.282,199.546]","{""1"":""0""}"
"35_XDMuV5fl","[""IMG_5409_00012.jpg""]",0,"[]","[2,1507.099,571.507,118.152,183.793]","{""1"":""0""}"
"36_DRTVxoJF","[""IMG_5409_00013.jpg""]",0,"[]","[2,254.684,489.238,221.426,471.734]","{""1"":""4""}"
"36_3XWXRogi","[""IMG_5409_00013.jpg""]",0,"[]","[2,926.84,563.63,136.531,268.688]","{""1"":""0""}"
"36_15y1OcBV","[""IMG_5409_00013.jpg""]",0,"[]","[2,536.499,583.76,125.154,139.157]","{""1"":""0""}"
"36_XCcyENXy","[""IMG_5409_00013.jpg""]",0,"[]","[2,1507.974,571.507,108.525,187.294]","{""1"":""0""}"
"36_B6OXF7uH","[""IMG_5409_00013.jpg""]",0,"[]","[2,1663.76,582.885,147.034,223.177]","{""1"":""0""}"
"36_Ts0Oj7Iy","[""IMG_5409_00013.jpg""]",0,"[]","[2,1727.64992,836.69401,234.55445,240.68038]","{""1"":""1""}"
"37_iXnX7anA","[""IMG_5412_00002.jpg""]",0,"[]","[2,451.21517,1075.13817,410.762,591.248]","{""1"":""1""}"
"37_9m1vlxzH","[""IMG_5412_00002.jpg""]",0,"[]","[2,435.65658,826.19118,147.81181,202.269]","{""1"":""2""}"
"38_GytjEoLt","[""IMG_5412_00003.jpg""]",0,"[]","[2,430.98904,1048.68719,423.209,606.80689]","{""1"":""1""}"
"39_DP7JFSBv","[""IMG_5412_00004.jpg""]",0,"[]","[2,420.097,1067.358,427.877,599.028]","{""1"":""1""}"
"40_W5QfsgnC","[""IMG_5412_00005.jpg""]",0,"[]","[2,381.199,1039.352,479.222,627.034]","{""1"":""1""}"
"41_WiXdO2at","[""IMG_5412_00006.jpg""]",0,"[]","[2,396.759,1098.476,435.656,595.916]","{""1"":""1""}"
"41_tYs0sC2z","[""IMG_5412_00006.jpg""]",0,"[]","[2,353.193,818.412,122.917,259.838]","{""1"":""2""}"
"42_AVg8sdHH","[""IMG_5412_00007.jpg""]",0,"[]","[2,326.74207,823.07983,136.921,210.048]","{""1"":""2""}"
"42_syus4D3R","[""IMG_5412_00007.jpg""]",0,"[]","[2,418.541,1062.69052,429.433,600.583]","{""1"":""1""}"
"43_OHozbFcQ","[""IMG_5412_00008.jpg""]",0,"[]","[2,443.43641,1068.91457,409.205,614.586]","{""1"":""1""}"
"43_DUc3rkoN","[""IMG_5412_00008.jpg""]",0,"[]","[2,385.86668,849.52992,160.26,253.614]","{""1"":""4""}"
"44_axviMtUL","[""IMG_5412_00009.jpg""]",0,"[]","[2,515.008,1202.723,1.556,3.112]","{}"
"44_9ZEWwX8T","[""IMG_5412_00009.jpg""]",0,"[]","[2,462.10715,1084.47374,365.64,566.353]","{""1"":""1""}"
"45_Bh4RF6iR","[""IMG_5412_00010.jpg""]",0,"[]","[2,438.76808,1087.58459,410.762,552.351]","{""1"":""1""}"
"46_5reRIAXH","[""IMG_5412_00011.jpg""]",0,"[]","[2,399.8701,1070.47043,430.989,577.244]","{""1"":""1""}"
"47_zGNySzO2","[""IMG_5412_00012.jpg""]",0,"[]","[2,866.645,813.744,213.16051,424.76491]","{""1"":""2""}"
"47_IBbt9LXu","[""IMG_5412_00012.jpg""]",0,"[]","[2,272.28551,877.53684,143.144,157.147]","{""1"":""1""}"
"47_D4cGVN8K","[""IMG_5412_00012.jpg""]",0,"[]","[2,371.86434,1078.2497,454.32691,578.801]","{""1"":""1""}"
"48_q4Se4kLY","[""IMG_5412_00013.jpg""]",0,"[]","[2,664.37651,787.29301,275.39659,378.088]","{""1"":""2""}"
"48_Sq9oafHq","[""IMG_5412_00013.jpg""]",0,"[]","[2,382.75526,1059.57816,410.76197,578.801]","{""1"":""1""}"
"48_yjJVTFlO","[""IMG_5412_00013.jpg""]",0,"[]","[2,272.28559,861.977,124.473,163.371]","{""1"":""1""}"
"49_os40v5tX","[""IMG_5509_00002.jpg""]",0,"[]","[2,472.9986,754.61883,402.982,642.593]","{""1"":""1""}"
"50_OwRLFVeK","[""IMG_5509_00003.jpg""]",0,"[]","[2,449.65988,768.62243,472.99814,637.92539]","{""1"":""1""}"
"51_erLYuit4","[""IMG_5509_00004.jpg""]",0,"[]","[2,451.216,759.287,511.896,669.044]","{""1"":""1""}"
"52_9HWxeXcc","[""IMG_5509_00005.jpg""]",0,"[]","[2,418.541,767.066,521.232,665.932]","{""1"":""1""}"
"53_wMYwhgCt","[""IMG_5509_00006.jpg""]",0,"[]","[2,421.6531,767.06667,511.896,681.491]","{""1"":""1""}"
